"","flight.date","flight.num","flight.origin","flight.dest","flight.deptime","flight.arrtime","flight.eq"
"181","2016-01-28","W62066","LTN","LUZ","2016-01-28T20:15:00.000","2016-01-28T23:50:00.000","32S"
"182","2016-01-28","W62164","LTN","SZZ","2016-01-28T08:10:00.000","2016-01-28T11:05:00.000","32S"
"183","2016-01-28","W62202","LTN","BUD","2016-01-28T08:10:00.000","2016-01-28T11:35:00.000","32S"
"184","2016-01-28","W62206","LTN","BUD","2016-01-28T14:25:00.000","2016-01-28T17:50:00.000","32S"
"185","2016-01-28","W62210","LTN","BUD","2016-01-28T20:40:00.000","2016-01-28T23:55:00.000","32S"
"186","2016-01-28","W62272","EIN","BUD","2016-01-28T08:50:00.000","2016-01-28T10:45:00.000","32S"
"187","2016-01-28","W62282","CRL","BUD","2016-01-28T08:50:00.000","2016-01-28T10:45:00.000","32S"
"188","2016-01-28","W62292","DTM","BUD","2016-01-28T08:30:00.000","2016-01-28T10:15:00.000","32S"
"189","2016-01-28","W62334","MXP","BUD","2016-01-28T08:10:00.000","2016-01-28T09:45:00.000","32S"
"190","2016-01-28","W62340","FCO","BUD","2016-01-28T12:40:00.000","2016-01-28T14:20:00.000","32S"
"191","2016-01-28","W62458","TLV","BUD","2016-01-28T11:15:00.000","2016-01-28T13:45:00.000","32S"
"192","2016-01-28","W62498","DWC","BUD","2016-01-28T21:30:00.000","2016-01-29T00:40:00.000","32S"
"193","2016-01-28","W62502","LTN","RIX","2016-01-28T19:15:00.000","2016-01-28T23:55:00.000","32S"
"194","2016-01-28","W62602","LTN","PRG","2016-01-28T21:05:00.000","2016-01-28T23:55:00.000","32S"
"195","2016-01-28","W62686","CIA","PRG","2016-01-28T13:05:00.000","2016-01-28T15:05:00.000","32S"
"196","2016-01-28","W62902","LTN","LJU","2016-01-28T07:30:00.000","2016-01-28T10:40:00.000","32S"
"197","2016-01-28","W63002","LTN","OTP","2016-01-28T08:40:00.000","2016-01-28T13:55:00.000","32S"
"198","2016-01-28","W63004","LTN","OTP","2016-01-28T14:50:00.000","2016-01-28T20:00:00.000","32S"
"199","2016-01-28","W63010","LTN","OTP","2016-01-28T21:40:00.000","2016-01-29T02:55:00.000","32S"
